EMPLOYEE_ID,SALARY,POSITION,YEARS_EXPERIENCE
1,52000,Manager,4
2,53000,Manager,3
3,75000,Developer,18
4,150000,CEO,21
5,90000,Marketing,15
6,80000,Manager,23
7,120000,Manager,19
8,140000,Manager,16
9,110000,Manager,13
10,200000,,20
11,180000,CEO,17
12,180000,CEO,22
13,100000,Developer,14
14,95000,Developer,13
15,85000,Developer,12
16,84000,Developer,11
17,82000,Developer,10
18,150000,Manager,20
19,130000,Manager,19
20,120000,Manager,18
21,110000,Manager,17
22,105000,Manager,16
23,100000,Manager,15
24,160000,CEO,14
25,55000,Manager,13
26,50000,Manager,12
27,48000,Manager,11
28,47000,Manager,10
29,46000,Manager,9
30,155000,CEO,8
31,160000,CEO,7
32,150000,CEO,6
33,140000,CEO,5
34,135000,CEO,4
35,90000,Manager,3
36,85000,Manager,2
37,80000,Manager,1
38,75000,Manager,0
39,95000,Developer,9
40,90000,Developer,8
41,85000,Developer,7
42,80000,Developer,6
43,100000,Tester,5
44,95000,Tester,4
45,90000,Tester,3
46,85000,Tester,2
47,110000,Developer,1
48,105000,Developer,0
49,95000,Developer,9
50,90000,Developer,8
